esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,ribba,sift,none,0,0,,homography,0.0,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,4382,2532,2317,0.915087,0.10765958445008306,0.02739430424207698,0.12200594077516531,True,True,,,431.7,1.8
E1,ribba,sift,none,0,0,,homography,0.25,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,3817,1884,1619,0.859342,0.1183027359547539,0.03010248607189499,0.1267627158593825,True,True,,,406.5,1.5
E1,ribba,sift,none,0,0,,homography,0.5,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,3078,1123,746,0.664292,0.15050648994873203,0.038296827886924706,0.21685972181753824,True,True,,,398.2,1.0
E1,ribba,sift,none,0,0,,homography,0.75,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,2067,616,329,0.534091,0.14888780520008785,0.03788494869657795,0.21783846666511666,True,True,,,378.9,1.8
E1,ribba,sift,none,0,0,,homography,1.0,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,832,397,110,0.277078,0.1611369944580374,0.04100179165083099,0.23271836881396168,True,True,,,351.6,20.6
E1,ribba,sift,none,0,0,,homography,1.1,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,661,215,81,0.376744,506.75155609706906,128.94445370356752,899.5318463536963,True,False,,,341.2,6.2
E1,ribba,sift,none,0,0,,homography,1.2,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,688,62,30,0.483871,0.5009889013849766,0.12747812892411145,1.2341303449064076,True,True,,,343.2,2.3
E1,ribba,sift,none,0,0,,homography,1.3,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,678,30,14,0.466667,0.7753589681302855,0.19729241551765553,2.306216891888323,True,True,,,340.7,2.6
E1,ribba,sift,none,0,0,,homography,1.4,15,1.15,30,20,0.0,0.75,,,3.0,42,6528,801,15,6,0.4,1.7443768009705178,0.44386191013735116,4.094722011908253,True,False,,,347.5,5.0
E1,ribba,sift,none,0,0,,homography,1.5,15,1.15,30,20,0.0,0.75,,,,42,6528,949,2,0,0.0,,,,False,False,"solo 2 corrispondenze, ne servono almeno 4",,350.4,0.0
E1,ribba,sift,none,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,6528,6528,6528,1.0,1.7841378621071943e-12,4.539792314267619e-13,3.86462750421931e-12,True,True,,,459.0,1.8
E1,ribba,sift,none,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,5473,3328,3176,0.954327,0.02914179253484849,0.007415216535869803,0.03549918240838828,True,True,,,451.0,1.3
E1,ribba,sift,none,0,0,,homography,0.0,15,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,5611,3123,2967,0.950048,0.09389222568982325,0.023891158503452595,0.10911054004398844,True,True,,,449.8,1.9
E1,ribba,sift,none,0,0,,homography,0.0,30,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,4919,3197,3022,0.945261,0.18693468553112377,0.04756609153745103,0.20223554457981782,True,True,,,432.6,1.5
E1,ribba,sift,none,0,0,,homography,0.0,45,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,4816,2857,2699,0.944697,0.26690852785375535,0.0679156756379716,0.28196403909658535,True,True,,,427.5,1.2
E1,ribba,sift,none,0,0,,homography,0.0,90,1.0,0.0,0.0,0.0,0.75,,,3.0,42,6528,6520,6203,6178,0.99597,0.5017350992196907,0.12766800120174795,0.5050116647937736,True,True,,,457.6,5.1
E1,ribba,sift,clahe,0,0,,homography,0.0,15,1.15,30,20,0.0,0.75,,,3.0,42,7900,5872,3509,3344,0.952978,0.11410973821450299,0.029035565217894927,0.15272578555251812,True,True,,,480.9,2.0
E1,ribba,sift,clahe,0,0,,homography,0.25,15,1.15,30,20,0.0,0.75,,,3.0,42,7900,5512,2348,2144,0.913118,0.11571328599733947,0.029443592761881018,0.21463705014459877,True,True,,,485.2,1.2
